record_id,trial_id,channel,hard_ok,clip_samples_in_support,flat_samples_in_support,ptp,jump,baseline_scale,drift_abs,rejection_reasons
VisualCogB_Task-1,VisualCogB_Ta:043,F4,True,0,0,171.3893339436944,28.74799725337607,12.17118791485453,68.03997863736936,
VisualCogB_Task-1,VisualCogB_Ta:044,Fz,True,0,0,75.83733882658112,28.076600289921316,10.542330052643841,18.020904859998552,
VisualCogB_Task-1,VisualCogB_Ta:044,F3,True,0,0,153.56679636835293,32.8374151216907,7.872813000686796,71.94628824292357,
VisualCogB_Task-1,VisualCogB_Ta:044,F4,True,0,0,151.21690699626163,33.56984817273212,9.049210345616983,100.57221332112607,
VisualCogB_Task-1,VisualCogB_Ta:045,Fz,True,0,0,781.1398489356833,45.74654764629588,13.438077363241051,152.52918287937746,
VisualCogB_Task-1,VisualCogB_Ta:045,F3,False,125,117,,,,,clip_or_out_of_range|flat_run
VisualCogB_Task-1,VisualCogB_Ta:045,F4,True,0,0,1009.5368886854352,40.680552376592686,13.302339208056715,137.71267261768514,
VisualCogB_Task-1,VisualCogB_Ta:046,Fz,True,0,0,551.6746776531625,23.4073395895324,16.062348363470097,15.289539940489817,
VisualCogB_Task-1,VisualCogB_Ta:046,F3,True,0,0,1157.2137026016635,31.12840466926059,74.70123140306721,250.4615854123751,
VisualCogB_Task-1,VisualCogB_Ta:046,F4,True,0,0,1089.9824521248188,27.98504615854131,85.42454566262306,378.1948577096208,
VisualCogB_Task-1,VisualCogB_Ta:047,Fz,True,0,0,351.4763103685052,27.710383764400603,8.73248798352014,222.03402761882978,
VisualCogB_Task-1,VisualCogB_Ta:047,F3,True,0,0,304.6005951018541,32.8374151216907,12.66889448386354,188.03692683299,
VisualCogB_Task-1,VisualCogB_Ta:047,F4,True,0,0,952.6512550545509,30.609597924773198,9.094456397344812,250.52262149996182,
VisualCogB_Task-1,VisualCogB_Ta:048,Fz,True,0,0,121.3702601663233,31.982909895475586,12.578402380407201,407.33958953231104,
VisualCogB_Task-1,VisualCogB_Ta:048,F3,True,0,0,128.05371175707637,34.66849774929426,9.230194552529317,59.89166094453344,
